,Average +/-,Average points,Average second chance points,Average possessions,Average defensive rebounds,Average offensive rebounds,Total rebounds,Average total rebounds,Steals,Average steals,3 Points made,Average 3 points made,3 Point percentage,Turnovers,Average turnovers,Turnover percentage,2 Points attempted,Average 2 points attempted,2 Points made,Average 2 points made,Minutes,Average minutes,Assists,Average assists,Assist percentage,Blocks,Average blocks,Blocks received,Average blocks received,Efficiency,Field goals attempted,Average field goals attempted,DFPG,OFPG,OF,PFPG,TF,TFPG,Tot Fouls,Tot Fouls PG,Uns. Foul PG,FTA,FTAPG,FTMPG
Yi Hang Te,-0.3,1.9,0,0,0.9,0,10,0.9,5,0.5,2,0.2,33.3,2,0.2,10.9,9,0.8,6,0.6,62:05,5.6,5,0.5,0,1,0.1,2,0.2,33,15,1.4,0,0,0,0.3,0,0,3,0.3,0,3,0.3,0.3
Di Yang Tee,-1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4:51,2.4,0,0,0,0,0,0,0,2,0,0,0,0,0,0.5,0,0,1,0.5,0,0,0,0
Zhen Jie Tem,-0.1,2.1,0.7,0,0.9,0.1,10,1,6,0.6,3,0.3,13,5,0.5,13.5,9,0.9,6,0.6,98:57,9.9,7,0.7,0,0,0,1,0.1,16,32,3.2,0,0,0,1.2,0,0,12,1.2,0,0,0,0
Kok Hou Teo,-4.3,2.8,0.3,0,0.9,0.1,11,1,10,0.9,5,0.5,26.3,15,1.4,29.2,17,1.6,8,0.7,208:30,19,20,1.8,0,0,0,0,0,33,36,3.3,0,0,0,1.8,0,0,20,1.8,0,1,0.1,0
Andre Terrence,-0.7,16.6,3.1,0,6.7,4.3,77,11,8,1.1,11,1.6,34.4,16,2.3,11.9,71,10.1,30,4.3,207:15,29.6,10,1.4,0,0,0,4,0.6,122,103,14.7,0,0.1,1,2.3,1,0.1,19,2.7,0.1,34,4.9,3.3
Zhong Shin Thea,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,0,0,0,0,2:58,3,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chun Hong Ting,2.5,13.5,2,0,3.6,1.5,41,5.1,15,1.9,17,2.1,29.3,18,2.3,14.2,42,5.3,23,2.9,237:26,29.7,19,2.4,0,2,0.3,0,0,98,100,12.5,0,0.1,1,1.9,0,0,16,2,0,20,2.5,1.4
Bosango Tychique,-3.9,15.8,2.6,0,6.1,1.7,70,7.8,12,1.3,14,1.6,36.8,23,2.6,15.3,69,7.7,35,3.9,291:21,32.4,25,2.8,0,6,0.7,5,0.6,157,107,11.9,0,0.1,1,1.2,0,0,12,1.3,0,47,5.2,3.3
Dandre Lee Tyrone,-0.1,10.1,2.1,0,4.3,2.7,49,7,8,1.1,5,0.7,38.5,13,1.9,12.8,60,8.6,15,2.1,145:31,20.8,12,1.7,0,6,0.9,7,1,71,73,10.4,0,0.1,1,2.7,0,0,20,2.9,0,35,5,3.7
Jackson Jr Vance,6,16.8,1.8,0,6.1,0.5,53,6.6,8,1,27,3.4,35.5,21,2.6,13.5,52,6.5,21,2.6,197:11,24.7,11,1.4,0,2,0.3,5,0.6,103,128,16,0,0.1,1,1.4,0,0,13,1.6,0.1,15,1.9,1.4
Yong Gan Wee,-1.9,12.3,0.4,0,2.1,0.7,39,2.8,19,1.4,31,2.2,36,35,2.5,17.7,64,4.6,29,2.1,366:37,26.2,30,2.1,0,0,0,6,0.4,126,150,10.7,0,0.2,3,2.4,0,0,38,2.7,0.1,30,2.1,1.5
"Khai Chiek, John Wong",-2.7,9.1,0.7,0,2.7,0.9,60,3.5,19,1.1,32,1.9,41,13,0.8,8.3,62,3.7,27,1.6,495:26,29.1,40,2.4,0,7,0.4,1,0.1,183,140,8.2,0,0,0,1.4,0,0,24,1.4,0,9,0.5,0.3
Yi Hou Wong,6.4,10.7,2.2,0,2.5,1.6,62,4.1,19,1.3,12,0.8,27.9,34,2.3,19.7,77,5.1,45,3,331:01,22.1,21,1.4,0,2,0.1,5,0.3,158,120,8,0,0.1,2,2.2,0,0,35,2.3,0,43,2.9,2.3
Chun Hong Yap,-2,1.7,0.2,0,0.3,0.4,7,0.8,1,0.1,1,0.1,6.7,5,0.6,14.3,15,1.7,6,0.7,71:30,7.9,6,0.7,0,0,0,1,0.1,1,30,3.3,0,0,0,0.8,0,0,7,0.8,0,0,0,0
Run Sam Yap,4.6,2.7,0.3,0,0.9,1,13,1.9,8,1.1,3,0.4,13.6,4,0.6,11.7,5,0.7,3,0.4,73:32,10.5,6,0.9,0,0,0,1,0.1,18,27,3.9,0,0,0,1.3,0,0,9,1.3,0,7,1,0.6
Liang Chuan Yek,0.1,2.4,0,0,1.6,0.4,14,2,3,0.4,4,0.6,44.4,4,0.6,20.1,6,0.9,2,0.3,85:08,12.2,6,0.9,0,0,0,1,0.1,26,15,2.1,0,0,0,0.9,0,0,6,0.9,0,2,0.3,0.1
Hi Yih Yeong,-3.6,2.4,0.7,0,1.3,0.4,12,1.7,7,1,1,0.1,7.7,10,1.4,28,11,1.6,6,0.9,76:52,11,11,1.6,0,0,0,1,0.1,18,24,3.4,0,0,0,0.6,0,0,4,0.6,0,4,0.6,0.3
Talley Jr Zoran,-8.3,13.8,4.3,0,3,2.3,21,5.3,7,1.8,4,1,25,15,3.8,19.3,41,10.3,18,4.5,107:41,26.9,15,3.8,0,2,0.5,3,0.8,44,57,14.3,0,0.3,1,2.5,1,0.3,14,3.5,0.5,13,3.3,1.8
